File Name,Address,Price,Bedrooms,Bathrooms,Square Footage,URL
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo","$2,300+1",[],[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo","$2,756+2 s",[],[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",3s,[],[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",3s,1,[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",3s,1,"1,000",https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",1,[],[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",1,1.5,[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",1,1.5,--,https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",2s,[],[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",2s,1,[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",2s,1,--,https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",[],[],[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",[],1,[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",[],1,--,https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",1,[],[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",1,1,[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",1,1,--,https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",2s,[],[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",2s,1,[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",2s,1,700,https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",4s,[],[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",4s,2,[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",4s,2,--,https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",3s,[],[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",3s,1,[],https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_4.html,"1092 Lenox Rd APT 2R, Brooklyn, NY 11212","$2,800/mo",3s,1,--,https://www.zillow.com/homedetails/1092-Lenox-Rd-APT-2R-Brooklyn-NY-11212/339907288_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",4s,[],[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",4s,2,[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",4s,2,--,https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo","$6,233+2 s",[],[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo","$4,595+1",[],[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo","$6,795+2 s",[],[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",2s,[],[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",2s,2,[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",2s,2,"1,040",https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",1,[],[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",1,1,[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",1,1,--,https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo","$5,900+2 s",[],[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",2s,[],[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",2s,1,[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",2s,1,--,https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo","$6,200+1",[],[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",1,[],[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",1,1,[],https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_18.html,"313 E 60th St APT 2C, New York, NY 10022","$2,500/mo",1,1,--,https://www.zillow.com/homedetails/313-E-60th-St-APT-2C-New-York-NY-10022/2110559064_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",1,[],[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",1,1,[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",1,1,--,https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",1,[],[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",1,1,[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",1,1,989,https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",1,[],[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",1,1,[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",1,1,895,https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",3s,[],[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",3s,2,[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",3s,2,--,https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",2s,[],[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",2s,1,[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",2s,1,--,https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo","$2,300+2 s",[],[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",3s,[],[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",3s,2,[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",3s,2,"1,200",https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",2s,[],[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",2s,1,[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",2s,1,--,https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",2s,[],[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",2s,1,[],https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_8.html,"6907 222nd St FLOOR 1, Oakland Gardens, NY 11364","$2,600/mo",2s,1,950,https://www.zillow.com/homedetails/6907-222nd-St-FLOOR-1-Oakland-Gardens-NY-11364/2053553814_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",3s,[],[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",3s,2,[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",3s,2,--,https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",1,[],[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",1,1,[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",1,1,--,https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",3s,[],[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",3s,2,[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",3s,2,"1,500",https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",2s,[],[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",2s,1,[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",2s,1,--,https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",1,[],[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",1,1,[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",1,1,--,https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo","$5,400+1",[],[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo","$7,470+2 s",[],[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo","$5,950+3 s",[],[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo","$3,000+3 s",[],[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo","$4,000+2 s",[],[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",3s,[],[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",3s,1,[],https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
pretty_page_14.html,"238 Central Ave APT 1B, Brooklyn, NY 11221","$4,200/mo",3s,1,--,https://www.zillow.com/homedetails/238-Central-Ave-APT-1B-Brooklyn-NY-11221/2103981249_zpid/
